collection_location,collection_name ,ui_group,ui_label_1,ui_label_2,filename,type 
fredericton,fredericton municipal annual engineering reports,1920s,Annual Report of the City Engineer ,1927,searchable_Annual Report of the City Engineer 1927.pdf,government report
fredericton,fredericton municipal annual engineering reports,1920s,Annual Report of the City Engineer ,1928,searchable_Annual Report of the City Engineer 1928.pdf,government report
fredericton,fredericton municipal annual engineering reports,1930s,Annual Report of the City Engineer ,1930,searchable_Annual Report of the City Engineer 1930.pdf,government report
fredericton,fredericton municipal annual engineering reports,1930s,Annual Report of the City Engineer ,1931,searchable_Annual Report of the City Engineer 1931.pdf,government report
fredericton,fredericton municipal annual engineering reports,1930s,Annual Report of the City Engineer ,1932,searchable_Annual Report of the City Engineer 1932.pdf,government report
fredericton,fredericton municipal annual engineering reports,1930s,Annual Report of the City Engineer ,1933,searchable_Annual Report of the City Engineer 1933.pdf,government report
fredericton,fredericton municipal annual engineering reports,1930s,Annual Report of the City Engineer ,1934,searchable_Annual Report of the City Engineer 1934.pdf,government report
fredericton,fredericton municipal annual engineering reports,1930s,Annual Report of the City Engineer ,1935,searchable_Annual Report of the City Engineer 1935.pdf,government report
fredericton,fredericton municipal annual engineering reports,1930s,Annual Report of the City Engineer ,1936,searchable_Annual Report of the City Engineer 1936.pdf,government report
fredericton,fredericton municipal annual engineering reports,1930s,Annual Report of the City Engineer ,1937,searchable_Annual Report of the City Engineer 1937.pdf,government report
fredericton,fredericton municipal annual engineering reports,1930s,Annual Report of the City Engineer ,1938,searchable_Annual Report of the City Engineer 1938.pdf,government report
fredericton,fredericton municipal annual engineering reports,1930s,Annual Report of the City Engineer ,1939,searchable_Annual Report of the City Engineer 1939.pdf,government report
fredericton,fredericton municipal annual engineering reports,1940s,Annual Report of the City Engineer ,1940,searchable_Annual Report of the City Engineer 1940.pdf,government report
fredericton,fredericton municipal annual engineering reports,1940s,Annual Report of the City Engineer ,1941,searchable_Annual Report of the City Engineer 1941.pdf,government report
fredericton,fredericton municipal annual engineering reports,1940s,Annual Report of the City Engineer ,1942,searchable_Annual Report of the City Engineer 1942.pdf,government report
fredericton,fredericton municipal annual engineering reports,1940s,Annual Report of the City Engineer ,1943,searchable_Annual Report of the City Engineer 1943.pdf,government report
fredericton,fredericton municipal annual engineering reports,1940s,Annual Report of the City Engineer ,1944,searchable_Annual Report of the City Engineer 1944.pdf,government report
fredericton,fredericton municipal annual engineering reports,1940s,Annual Report of the City Engineer ,1945,searchable_Annual Report of the City Engineer 1945.pdf,government report
fredericton,fredericton municipal annual engineering reports,1940s,Annual Report of the City Engineer ,1947,searchable_Annual Report of the City Engineer 1947.pdf,government report
fredericton,fredericton municipal annual engineering reports,1940s,Annual Report of the City Engineer ,1948,searchable_Annual Report of the City Engineer 1948.pdf,government report
fredericton,fredericton municipal annual engineering reports,1940s,Annual Report of the City Engineer ,1949,searchable_Annual Report of the City Engineer 1949.pdf,government report
fredericton,fredericton municipal annual engineering reports,1950s,Annual Report of the City Engineer ,1950,searchable_Annual Report of the City Engineer 1950.pdf,government report
fredericton,fredericton municipal annual engineering reports,1950s,Annual Report of the City Engineer ,1951,searchable_Annual Report of the City Engineer 1951.pdf,government report
fredericton,fredericton municipal annual engineering reports,1950s,Annual Report of the City Engineer ,1952,searchable_Annual Report of the City Engineer 1952.pdf,government report
fredericton,fredericton municipal annual engineering reports,1950s,Annual Report of the City Engineer ,1953,searchable_Annual Report of the City Engineer 1953.pdf,government report
fredericton,fredericton municipal annual engineering reports,1950s,Annual Report of the City Engineer ,1954,searchable_Annual Report of the City Engineer 1954.pdf,government report
fredericton,fredericton municipal annual engineering reports,1950s,Annual Report of the City Engineer ,1955,searchable_Annual Report of the City Engineer 1955.pdf,government report
fredericton,fredericton municipal annual engineering reports,1950s,Annual Report of the City Engineer ,1956,searchable_Annual Report of the City Engineer 1956.pdf,government report
fredericton,fredericton municipal annual engineering reports,1950s,Annual Report of the City Engineer ,1957,searchable_Annual Report of the City Engineer 1957.pdf,government report
fredericton,fredericton municipal annual engineering reports,1950s,Annual Report of the City Engineer ,1958,searchable_Annual Report of the City Engineer 1958.pdf,government report
fredericton,fredericton municipal annual engineering reports,1950s,Annual Report of the City Engineer ,1959,searchable_Annual Report of the City Engineer 1959.pdf,government report
fredericton,fredericton municipal annual engineering reports,1960s,Annual Report of the City Engineer ,1960,searchable_Annual Report of the City Engineer 1960.pdf,government report
fredericton,fredericton municipal annual engineering reports,1960s,Annual Report of the City Engineer ,1961,searchable_Annual Report of the City Engineer 1961.pdf,government report
fredericton,fredericton municipal annual engineering reports,1960s,Annual Report of the City Engineer ,1962,searchable_Annual Report of the City Engineer 1926.pdf,government report
fredericton,fredericton municipal annual engineering reports,1960s,Annual Report of the City Engineer ,1963,searchable_Annual Report of the City Engineer 1963.pdf,government report
fredericton,fredericton municipal annual engineering reports,1960s,Annual Report of the City Engineer ,1964,searchable_Annual Report of the City Engineer 1964.pdf,government report
fredericton,fredericton municipal annual engineering reports,1960s,Annual Report of the City Engineer ,1965,searchable_Annual Report of the City Engineer 1965.pdf,government report
fredericton,fredericton municipal annual engineering reports,1960s,Annual Report of the City Engineer ,1966,searchable_Annual Report of the City Engineer 1966.pdf,government report
fredericton,fredericton municipal annual engineering reports,1960s,Annual Report of the City Engineer ,1967,searchable_Annual Report of the City Engineer 1967.pdf,government report
fredericton,fredericton municipal annual engineering reports,1960s,Annual Report of the City Engineer ,1968,searchable_Annual Report of the City Engineer 1968.pdf,government report
fredericton,fredericton municipal annual engineering reports,1960s,Annual Report of the City Engineer ,1969,searchable_Annual Report of the City Engineer 1969.pdf,government report
fredericton,fredericton municipal annual engineering reports,1970s,Annual Report of the City Engineer ,1970,searchable_Annual Report of the City Engineer 1970.pdf,government report
fredericton,fredericton municipal annual engineering reports,1970s,Annual Report of the City Engineer ,1971,searchable_Annual Report of the City Engineer 1971.pdf,government report
fredericton,fredericton municipal annual engineering reports,1970s,Annual Report of the City Engineer ,1972,searchable_Annual Report of the City Engineer 1972.pdf,government report
fredericton,fredericton municipal annual engineering reports,1970s,Annual Report of the City Engineer ,1973,searchable_Annual Report of the City Engineer 1973.pdf,government report
fredericton,fredericton municipal annual engineering reports,1970s,Annual Report of the City Engineer ,1974,searchable_Annual Report of the City Engineer 1974.pdf,government report
fredericton,fredericton municipal annual engineering reports,1970s,Annual Report of the City Engineer ,1975,searchable_Annual Report of the City Engineer 1975.pdf,government report
fredericton,fredericton municipal annual engineering reports,1970s,Annual Report of the City Engineer ,1976,searchable_Annual Report of the City Engineer 1976.pdf,government report
fredericton,fredericton municipal annual engineering reports,1970s,Annual Report of the City Engineer ,1977,searchable_Annual Report of the City Engineer 1977.pdf,government report
fredericton,fredericton municipal annual engineering reports,1970s,Annual Report of the City Engineer ,1978,searchable_Annual Report of the City Engineer 1978.pdf,government report
fredericton,fredericton municipal annual engineering reports,1970s,Annual Report of the City Engineer ,1979,searchable_Annual Report of the City Engineer 1979.pdf,government report
fredericton,fredericton municipal annual engineering reports,1980s,Annual Report of the City Engineer ,1980,searchable_Annual Report of the City Engineer 1980.pdf,government report
fredericton,fredericton municipal annual engineering reports,1980s,Annual Report of the City Engineer ,1981,searchable_Annual Report of the City Engineer 1981.pdf,government report
fredericton,fredericton municipal annual engineering reports,1980s,Annual Report of the City Engineer ,1982,searchable_Annual Report of the City Engineer 1982.pdf,government report
fredericton,fredericton municipal annual engineering reports,1980s,Annual Report of the City Engineer ,1983,searchable_Annual Report of the City Engineer 1983.pdf,government report
fredericton,fredericton municipal annual engineering reports,1980s,Annual Report of the City Engineer ,1984,searchable_Annual Report of the City Engineer 1984.pdf,government report
fredericton,fredericton municipal annual engineering reports,1980s,Annual Report of the City Engineer ,1985,searchable_Annual Report of the City Engineer 1985.pdf,government report
fredericton,fredericton municipal annual engineering reports,1980s,Annual Report of the City Engineer ,1986,searchable_Annual Report of the City Engineer 1986.pdf,government report
fredericton,fredericton municipal annual engineering reports,1980s,Annual Report of the City Engineer ,1987,searchable_Annual Report of the City Engineer 1987.pdf,government report
fredericton,fredericton municipal annual engineering reports,1980s,Annual Report of the City Engineer ,1988,searchable_Annual Report of the City Engineer 1988.pdf,government report
fredericton,fredericton municipal annual engineering reports,1980s,Annual Report of the City Engineer ,1989,searchable_Annual Report of the City Engineer 1989.pdf,government report
fredericton,fredericton municipal annual engineering reports,1990s,Annual Report of the City Engineer ,1990,searchable_Annual Report of the City Engineer 1990.pdf,government report
fredericton,fredericton municipal annual engineering reports,1990s,Annual Report of the City Engineer ,1991,searchable_Annual Report of the City Engineer 1991.pdf,government report
fredericton,fredericton municipal annual engineering reports,1990s,Annual Report of the City Engineer ,1992,searchable_Annual Report of the City Engineer 1992.pdf,government report
fredericton,fredericton municipal annual engineering reports,1990s,Annual Report of the City Engineer ,1993,searchable_Annual Report of the City Engineer 1993.pdf,government report
fredericton,fredericton municipal annual engineering reports,1990s,Annual Report of the City Engineer ,1994,searchable_Annual Report of the City Engineer 1994.pdf,government report
fredericton,fredericton municipal annual engineering reports,1990s,Annual Report of the City Engineer ,1995,searchable_Annual Report of the City Engineer 1995.pdf,government report
fredericton,fredericton municipal annual engineering reports,1990s,Annual Report of the City Engineer ,1996,searchable_Annual Report of the City Engineer 1996.pdf,government report
fredericton,fredericton municipal annual engineering reports,1990s,Annual Report of the City Engineer ,1997,searchable_Annual Report of the City Engineer 1997.pdf,government report
fredericton,fredericton municipal annual engineering reports,1990s,Annual Report of the City Engineer ,1998,searchable_Annual Report of the City Engineer 1998.pdf,government report
fredericton,fredericton municipal annual engineering reports,1990s,Annual Report of the City Engineer ,1999,searchable_Annual Report of the City Engineer 1999.pdf,government report
